"country","Continente","gdpPercap","pop","emissions"
"Afghanistan","Asia",576,38900000,0.254
"Albania","Europe",4250,2880000,1.59
"Algeria","Africa",4190,43900000,3.69
"Angola","Africa",3790,32900000,1.12
"Argentina","South America",13600,45200000,4.41
"Armenia","Asia",3860,2960000,1.89
"Australia","Oceania",57800,25500000,16.9
"Austria","Europe",45300,9010000,7.75
"Azerbaijan","Asia",5230,10100000,3.7
"Bahamas","North America",32100,393000,4.7
"Bangladesh","Asia",1400,1.65e+08,0.531
"Belarus","Europe",5940,9450000,6.93
"Belgium","Europe",41800,11600000,8.69
"Belize","North America",4660,398000,1.5
"Benin","Africa",1110,12100000,0.623
"Bhutan","Asia",3040,772000,1.61
"Bolivia","South America",3200,11700000,1.96
"Bosnia and Herzegovina","Europe",5150,3280000,6.53
"Botswana","Africa",7020,2350000,2.96
"Brazil","South America",8500,2.13e+08,2.18
"Bulgaria","Europe",7690,6950000,6.32
"Burkina Faso","Africa",694,20900000,0.198
"Burundi","Africa",286,11900000,0.0467
"Cambodia","Asia",1290,16700000,0.64
"Cameroon","Africa",1360,26500000,0.323
"Canada","North America",44300,37700000,15.3
"Central African Republic","Africa",404,4830000,0.0651
"Chad","Africa",663,16400000,0.0656
"Chile","South America",13600,19100000,4.59
"China","Asia",9120,1.44e+09,7.06
"Colombia","South America",6210,50900000,1.96
"Costa Rica","North America",12400,5090000,1.61
"Croatia","Europe",12900,4110000,4.48
"Cuba","North America",7860,11300000,2.53
"Cyprus","Asia",30800,1210000,6.3
"Czech Republic","Europe",19100,10700000,9.94
"Denmark","Europe",55700,5790000,6.06
"Djibouti","Africa",2890,988000,0.672
"Dominican Republic","North America",7560,10800000,2.34
"Ecuador","South America",5980,17600000,2.46
"Egypt","Africa",3710,1.02e+08,2.43
"El Salvador","North America",3850,6490000,1.11
"Equatorial Guinea","Africa",8990,1400000,4.35
"Estonia","Europe",19000,1330000,14.8
"Ethiopia","Africa",728,1.15e+08,0.137
"Fiji","Oceania",5760,896000,2.41
"Finland","Europe",45200,5540000,8.52
"France","Europe",37700,65300000,5.2
"Gabon","Africa",7150,2230000,2.53
"Georgia","Asia",4330,3990000,2.64
"Germany","Europe",42600,83800000,9.14
