"";"Tipo";"pH";"Sulfatos";"Alcohol";"Tonalidad";"Calidad";"Precio"
"1";"Tinto";3,51;0,56;9,4;"Azulado";5;3,5
"2";"Tinto";3,2;0,68;9,8;"Azulado";5;2,01
"3";"Tinto";3,26;0,65;9,8;"Azulado";5;3,27
"4";"Tinto";3,16;0,58;9,8;"Azulado";6;3,46
"5";"Tinto";3,51;0,56;9,4;"Azulado";5;2,14
"6";"Tinto";3,51;0,56;9,4;"Azulado";5;3,36
"7";"Tinto";3,3;0,46;9,4;"Azulado";5;3,18
"8";"Tinto";3,39;0,47;10;"Granate";7;5,82
"9";"Tinto";3,36;0,57;9,5;"Azulado";7;5,32
"10";"Tinto";3,35;0,8;10,5;"Granate";5;3,89
"11";"Tinto";3,28;0,54;9,2;"Azulado";5;2,23
"12";"Tinto";3,35;0,8;10,5;"Granate";5;3,39
"13";"Tinto";3,58;0,52;9,9;"Azulado";5;2,07
"14";"Tinto";3,26;1,56;9,1;"Azulado";5;3,2
"15";"Tinto";3,16;0,88;9,2;"Azulado";5;2,13
"16";"Tinto";3,17;0,93;9,2;"Azulado";5;2,31
"17";"Tinto";3,3;0,75;10,5;"Granate";7;5,62
"18";"Tinto";3,11;1,28;9,3;"Azulado";5;2,51
"19";"Tinto";3,38;0,5;9;"Azulado";4;2,29
"20";"Tinto";3,04;1,08;9,2;"Azulado";6;4,31
"21";"Tinto";3,39;0,53;9,4;"Azulado";6;5,06
"22";"Tinto";3,52;0,65;9,7;"Azulado";5;3,48
"23";"Tinto";3,17;0,91;9,5;"Azulado";5;2,07
"24";"Tinto";3,17;0,53;9,4;"Azulado";5;2,21
"25";"Tinto";3,43;0,63;9,7;"Azulado";6;5,39
"26";"Tinto";3,34;0,56;9,3;"Azulado";5;2,06
"27";"Tinto";3,28;0,59;9,5;"Azulado";5;2,92
"28";"Tinto";3,17;0,91;9,5;"Azulado";5;3,01
"29";"Tinto";3,47;0,55;9,4;"Azulado";5;3,46
"30";"Tinto";3,38;0,59;9,8;"Azulado";6;4,3
"31";"Tinto";3,35;0,54;10,1;"Granate";5;5,39
"32";"Tinto";3,46;0,57;10,6;"Granate";6;4,98
"33";"Tinto";3,17;0,66;9,8;"Azulado";5;2,9
"34";"Tinto";3,45;0,52;9,4;"Azulado";6;3,94
"35";"Tinto";3,38;0,55;9,2;"Azulado";5;2,27
"36";"Tinto";3,4;0,55;9,6;"Azulado";6;5,27
"37";"Tinto";3,42;0,6;10,8;"Granate";6;5,54
"38";"Tinto";3,23;0,73;9,7;"Azulado";7;5,35
"39";"Tinto";3,5;0,48;9,8;"Azulado";4;2,71
"40";"Tinto";3,33;0,83;10,5;"Granate";5;3,93
"41";"Tinto";3,33;0,83;10,5;"Granate";5;3,23
"42";"Tinto";3,26;0,51;9,3;"Azulado";4;2,02
"43";"Tinto";3,21;0,9;10,5;"Granate";6;4,02
"44";"Tinto";3,3;1,2;10,3;"Granate";5;5,07
"45";"Tinto";3,48;0,52;9,5;"Azulado";5;2,36
"47";"Tinto";3,25;0,73;9,2;"Azulado";5;2,38
"48";"Tinto";3,25;0,58;9,5;"Azulado";5;3,04
"49";"Tinto";3,34;0,56;9,2;"Azulado";5;2,49
"50";"Tinto";3,32;0,58;9,2;"Azulado";5;2,07
"51";"Tinto";3,15;0,74;9,2;"Azulado";5;2,54
"52";"Tinto";3,4;0,63;9,4;"Azulado";6;5,02
"53";"Tinto";3,39;0,64;9,4;"Azulado";6;4,32
"54";"Tinto";3,2;0,56;9,4;"Azulado";5;2,05
"55";"Tinto";3,17;0,63;10,2;"Granate";6;4,15
"56";"Tinto";3,34;0,53;9,5;"Azulado";5;2,02
"57";"Tinto";3,04;0,63;9,6;"Azulado";5;2,41
"58";"Tinto";3,26;0,77;9,4;"Azulado";5;2,72
"59";"Tinto";3,43;0,59;10;"Granate";5;5,35
"60";"Tinto";3,41;0,54;9,4;"Azulado";6;5,12
"61";"Tinto";3,44;0,64;9,2;"Azulado";5;2,18
"62";"Tinto";3,21;0,71;9,3;"Azulado";5;2,9
"63";"Tinto";3,38;0,62;9,5;"Azulado";7;4
"64";"Tinto";3,39;0,57;9,8;"Azulado";5;2,66
"65";"Tinto";3,41;0,39;10,9;"Granate";5;5,11
"66";"Tinto";3,41;0,39;10,9;"Granate";5;4,71
"67";"Tinto";3,42;0,58;9,6;"Azulado";5;2
"68";"Tinto";3,44;0,58;10,7;"Granate";5;4,88
"69";"Tinto";3,28;0,79;10,7;"Granate";5;4,5
"70";"Tinto";3,34;0,95;10,5;"Granate";6;4,3
"71";"Tinto";3,32;0,54;9,5;"Azulado";6;3,4
"72";"Tinto";3,32;0,48;9,5;"Azulado";5;2,94
"73";"Tinto";3,31;0,48;9,5;"Azulado";5;2,49
"74";"Tinto";3,31;0,53;9,2;"Azulado";4;2,54
"75";"Tinto";3,28;0,82;9,6;"Azulado";5;3,25
"76";"Tinto";3,54;0,66;10,5;"Granate";5;4,24
"77";"Tinto";3,54;0,66;10,5;"Granate";5;3,18
"78";"Tinto";3,52;0,55;10,7;"Granate";6;4,06
"79";"Tinto";3,38;0,52;10,1;"Granate";5;4,39
"80";"Tinto";3,16;1,12;9,1;"Azulado";4;2,28
"81";"Tinto";3,41;0,56;9,2;"Azulado";5;3,22
"82";"Tinto";3,13;1,28;9,4;"Azulado";5;2,54
"83";"Tinto";3,36;0,57;9,1;"Azulado";5;3
"84";"Tinto";3,16;1,14;9,4;"Azulado";5;3,46
"85";"Tinto";3,44;0,78;10,3;"Granate";6;3,09
"86";"Tinto";3,41;0,59;10,1;"Granate";5;4,13
"87";"Tinto";2,93;1,95;9,9;"Azulado";6;3,99
"88";"Tinto";3,39;0,64;9,6;"Azulado";5;2,76
"89";"Tinto";3,14;1,22;9,5;"Azulado";5;2,81
"90";"Tinto";3,48;0,53;9;"Azulado";5;3,04
"91";"Tinto";3,23;0,54;9,5;"Azulado";5;3,41
"92";"Tinto";2,93;1,95;9,9;"Azulado";6;4,05
"93";"Tinto";2,93;1,98;9,8;"Azulado";5;3,06
"94";"Tinto";3,39;0,64;9,6;"Azulado";5;2,36
"95";"Tinto";3,75;0,48;10,5;"Granate";4;2,11
"97";"Tinto";3,45;0,56;10,7;"Granate";5;4,1
"98";"Tinto";3,25;0,63;9,2;"Azulado";5;2,38
"99";"Tinto";3,39;0,56;9,8;"Azulado";5;2,33
"100";"Tinto";3,3;0,59;9;"Azulado";6;5,45
"101";"Tinto";3,4;0,61;10,2;"Granate";6;5,35
"102";"Tinto";3,31;0,56;10,4;"Granate";6;3,45
"103";"Tinto";3,3;0,59;9;"Azulado";6;5,41
"104";"Tinto";3,29;0,51;9,2;"Azulado";5;2,08
"105";"Tinto";3,33;0,48;9,4;"Azulado";5;2,26
"106";"Tinto";3,29;0,51;9,2;"Azulado";5;2,61
"107";"Tinto";3,08;1,31;9,3;"Azulado";5;2,55
"108";"Tinto";3,46;0,79;9,3;"Azulado";5;3,47
"109";"Tinto";3,37;0,8;9,6;"Azulado";6;3,1
"110";"Tinto";3,21;0,69;9,3;"Azulado";5;3,06
"111";"Tinto";3,19;0,93;9,5;"Azulado";5;2,21
"112";"Tinto";3,15;0,66;9,8;"Azulado";5;2,17
"113";"Tinto";3,15;0,66;9,8;"Azulado";5;3,1
"114";"Tinto";3,32;0,67;9,7;"Azulado";6;4,33
"115";"Tinto";3,19;0,93;9,5;"Azulado";5;2,86
"116";"Tinto";3,07;0,63;10,5;"Granate";6;4,42
